Pref,Class,Monthly,Lower,Upper,保険料_介護保険2号非該当_全額,保険料_介護保険2号非該当_折半額,保険料_介護保険2号該当_全額,保険料_介護保険2号該当_折半額
茨城,20,260000,250000,270000,25116,12558,29276,14638
茨城,21,280000,270000,290000,27048,13524,31528,15764
茨城,22,300000,290000,310000,28980,14490,33780,16890
茨城,23,320000,310000,330000,30912,15456,36032,18016
茨城,24,340000,330000,350000,32844,16422,38284,19142
茨城,25,360000,350000,370000,34776,17388,40536,20268
茨城,26,380000,370000,395000,36708,18354,42788,21394
茨城,27,410000,395000,425000,39606,19803,46166,23083
茨城,28,440000,425000,455000,42504,21252,49544,24772
茨城,29,470000,455000,485000,45402,22701,52922,26461
茨城,30,500000,485000,515000,48300,24150,56300,28150
茨城,31,530000,515000,545000,51198,25599,59678,29839
茨城,32,560000,545000,575000,54096,27048,63056,31528
茨城,33,590000,575000,605000,56994,28497,66434,33217
茨城,34,620000,605000,635000,59892,29946,69812,34906
茨城,35,650000,635000,665000,62790,31395,73190,36595
茨城,36,680000,665000,695000,65688,32844,76568,38284
茨城,37,710000,695000,730000,68586,34293,79946,39973
茨城,38,750000,730000,770000,72450,36225,84450,42225
茨城,39,790000,770000,810000,76314,38157,88954,44477
茨城,40,830000,810000,855000,80178,40089,93458,46729
茨城,41,880000,855000,905000,85008,42504,99088,49544
茨城,42,930000,905000,955000,89838,44919,104718,52359
茨城,43,980000,955000,1005000,94668,47334,110348,55174
茨城,44,1030000,1005000,1055000,99498,49749,115978,57989
茨城,45,1090000,1055000,1115000,105294,52647,122734,61367
茨城,46,1150000,1115000,1175000,111090,55545,129490,64745
茨城,47,1210000,1175000,1235000,116886,58443,136246,68123
茨城,48,1270000,1235000,1295000,122682,61341,143002,71501
茨城,49,1330000,1295000,1355000,128478,64239,149758,74879
茨城,50,1390000,1355000,NA,134274,67137,156514,78257
栃木,1,58000,NA,63000,5678,2839,6606,3303
栃木,2,68000,63000,73000,6657,3329,7745,3873
